material_id,formula_pretty,formula_anonymous,band_gap,energy_above_hull,density,volume,nsites,nelements,elements,crystal_system,spacegroup_symbol,spacegroup_number,status,error
mp-2715235,Na6MgZr3Si2(PO6)4,AB2C3D4E6F24,3.5973999999999995,0.018384227395831232,3.0457763171968595,1635.5285510689164,120,6,"Mg,Na,O,P,Si,Zr",Triclinic,P1,1,ok,
mp-2715236,Na6Sc3NbSi2(PO6)4,AB2C3D4E6F24,2.6599,0.03781413692083291,2.9017491574801024,1064.123736105122,80,6,"Na,Nb,O,P,Sc,Si",Triclinic,P1,1,ok,
mp-2715237,Na3TiNb(SiO4)3,ABC3D3E12,2.7821,0.031086138666660545,3.096943868613415,1042.3291053728176,80,5,"Na,Nb,O,Si,Ti",Monoclinic,Cc,9,ok,
mp-2715238,Na3HfInSi(PO6)2,ABCD2E3F12,3.7828,0.02846257699999999,3.9391375241520747,1629.6316380243172,120,6,"Hf,In,Na,O,P,Si",Monoclinic,Cc,9,ok,
mp-2715239,Na6ZnSi2Ge3(PO6)4,AB2C3D4E6F24,2.3574,0.10922546154166923,3.4315129156033466,953.6091939274826,80,6,"Ge,Na,O,P,Si,Zn",Triclinic,P1,1,ok,
mp-2715240,Na3Al2(PO4)3,A2B3C3D12,5.0440000000000005,0.012019705468746977,2.9758428869051192,910.3235957290809,80,4,"Al,Na,O,P",Monoclinic,Cc,9,ok,
mp-2715242,Na3MgSn(PO4)3,ABC3D3E12,2.5717999999999996,0.014176687374998664,3.214893694770217,1539.9312224796133,120,5,"Mg,Na,O,P,Sn",Monoclinic,Cc,9,ok,
mp-2715243,Na3CaSn(PO4)3,ABC3D3E12,1.9677,0.04436569982499883,3.1196801248438453,1091.5361125770603,80,5,"Ca,Na,O,P,Sn",Monoclinic,Cc,9,ok,
mp-2715244,Na6CaSi2Ge3(PO6)4,AB2C3D4E6F24,1.8263000000000003,0.12466675772916425,3.2325981147056244,1479.3964120935711,120,6,"Ca,Ge,Na,O,P,Si",Triclinic,P1,1,ok,
mp-2715245,Na3HfInSi(PO6)2,ABCD2E3F12,3.9286999999999996,0.03693019024999966,3.965697098570279,1079.144973561952,80,6,"Hf,In,Na,O,P,Si",Monoclinic,Cc,9,ok,
mp-2715246,Na6CaZr3Si2(PO6)4,AB2C3D4E6F24,4.111599999999999,0.026141672354166978,3.0350951314305705,1111.4487807970218,80,6,"Ca,Na,O,P,Si,Zr",Triclinic,P1,1,ok,
mp-2715247,Na9Ca4Nb2(PO4)9,A2B4C9D9E36,1.9999000000000002,0.034271723541666965,2.801864379888038,3337.299702898454,240,5,"Ca,Na,Nb,O,P",Triclinic,P1,1,ok,
mp-2715248,Na3NbGaSi2PO12,ABCD2E3F12,2.3012,0.0705683295416657,3.3211411317339707,3064.359374563092,240,6,"Ga,Na,Nb,O,P,Si",Monoclinic,Cc,9,ok,
mp-2715249,Na3YSiGe(PO6)2,ABCD2E3F12,1.6716,0.13929139254166945,3.216637206194776,1587.5479953950394,120,6,"Ge,Na,O,P,Si,Y",Monoclinic,Cc,9,ok,
mp-2715250,Na6TaIn3Si2(PO6)4,AB2C3D4E6F24,3.4192000000000005,0.04303656818750223,3.7992603986776006,1072.9101949292644,80,6,"In,Na,O,P,Si,Ta",Triclinic,P1,1,ok,
mp-2715251,Na6Nb3Ga(SiO4)6,AB3C6D6E24,2.7963,0.04832681760416335,3.280372088557023,1051.7707817468456,80,5,"Ga,Na,Nb,O,Si",Triclinic,P1,1,ok,
mp-2715252,Na3TaInSi2PO12,ABCD2E3F12,3.0581,0.06816744950000064,3.960982641110109,1619.5615382287438,120,6,"In,Na,O,P,Si,Ta",Monoclinic,Cc,9,ok,
mp-2715253,Na6TaGa3Si2(PO6)4,AB2C3D4E6F24,3.3143000000000002,0.05220022965416238,3.643757881285267,1493.0903522774083,120,6,"Ga,Na,O,P,Si,Ta",Triclinic,P1,1,ok,
mp-2715254,Na3YAl(PO4)3,ABC3D3E12,4.6344,0.03486564805208481,3.0373111604532386,1540.9802219190449,120,5,"Al,Na,O,P,Y",Triclinic,P1,1,ok,
mp-2715255,Na3HfAlSi(PO6)2,ABCD2E3F12,4.5863000000000005,0.05234523043749739,3.678863600341697,1004.6957399906044,80,6,"Al,Hf,Na,O,P,Si",Monoclinic,Cc,9,ok,
mp-2715256,Na3ZrZn(PO4)3,ABC3D3E12,3.914,0.04166315004166776,3.181499448931428,1598.7412807760147,120,5,"Na,O,P,Zn,Zr",Monoclinic,Cc,9,ok,
mp-2715257,Na3CaTi(PO4)3,ABC3D3E12,2.0179,0.06735964314999343,2.7488541059814633,1601.4090557946254,120,5,"Ca,Na,O,P,Ti",Monoclinic,Cc,9,ok,
mp-2715258,Na6YTa3(SiO4)6,AB3C6D6E24,3.5464,0.03338731981249943,4.029873606549581,1634.4502797457076,120,5,"Na,O,Si,Ta,Y",Triclinic,P1,1,ok,
